z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,decayModes,abundance,abundanceUncertainty,betaMinus(keV),betaMinusUncertainty,electronCapture(keV),electronCaptureUncertainty,positronEmission(keV),positronEmissionUncertainty,alpha(keV),alphaUncertainty
92,123,215U,,,,,,,,,,7.08E+03,13,6.06E+03,13,8.59E+03,6
92,130,222U,0,4.7,us,2,A AP 100.00,,,-7.00E+03,6,2.21E+03,10,1.19E+03,10,9.48E+03,5
92,132,224U,0,0.84,ms,18,A = 100.00,,,-6.29E+03,3,1880,17,858,17,8628,7
92,131,223U,0,18,us,5,A = 100.00,,,-4.61E+03,10,3.71E+03,10,2.69E+03,10,9158,17
92,131,223U,0,18,us,5,EC = 0.20,,,-4.61E+03,10,3.71E+03,10,2.69E+03,10,9158,17
92,134,226U,0,268,ms,9,A = 100.00,,,-5.49E+03,10,1295,16,273,16,7701,4
92,133,225U,0,95,ms,15,A = 100.00,,,-4.25E+03,9,3.02E+03,8,1.99E+03,8,8007,6
92,125,217U,0,16,ms,15,A LE 100.00,,,,,5.92E+03,8,4.89E+03,8,8.43E+03,8
92,124,216U,0,4.5,ms,31,A LE 100.00,,,,,5.24E+03,4,4.22E+03,4,8.53E+03,3
92,124,216U,2.24,0.7,ms,11,A AP 0.00,,,,,5.24E+03,4,4.22E+03,4,8.53E+03,3
92,124,216U,2.24,0.7,ms,11,IT ? 0.00,,,,,5.24E+03,4,4.22E+03,4,8.53E+03,3
92,127,219U,0,42,us,21,A = 100.00,,,-6.14E+03,9,4.71E+03,7,3.69E+03,7,9950,12
92,126,218U,0,0.51,ms,16,A = 100.00,,,,,3245,23,2223,23,8775,9
92,126,218U,2.105,0.56,ms,25,A = 100.00,,,,,3245,23,2223,23,8775,9
92,129,221U,0,0.66,us,14,A AP 100.00,,,-5.39E+03,21,4.15E+03,9,3.12E+03,9,9.89E+03,7
92,128,220U,0,,,,A ? ,,,-7.46E+03,11,2.74E+03,10,1.71E+03,10,1.03E+04,10
92,128,220U,0,,,,EC ? ,,,-7.46E+03,11,2.74E+03,10,1.71E+03,10,1.03E+04,10
